HMIID,YEAR,WBCC,COWCC,UCDPID,ACTORID,STATUS,HMISTART,HMISTAPR,HMIEND,HMIENDPR,ENDTYPE,VIOSTART,VIOSTAPR,VIOEND,VIOENDPR,VIODURAT,CONFLICT,VIOLENCE,ISSUE,NONSTATE,POLARITY,FATALITY,AREA,AREAA,POPULAT,POPULATA,REGION,MEDIATE6,MEDIATEI,ACCORD6,ACCORDI,EMBARGO6,EMBARGOI,COLDWAR,UNSC,REGIOORG,GOVTPERM,INTERVEN1,I1CCC,P5,INTERVEN2,I2CCC,INTERVEN3,I3CCC,COLONY2,SAVING,TARGET,TATROOP,ACTIVE,FORCE,INTERPOS,STARINTE,ENDINTE,DISARM,STARDISA,ENDDISA,CIVILIAN,STARCIVI,ENDCIVI,HUMANAID,STARHUMA,ENDHUMA,NOFLY,STARFLY,ENDFLY,SAFEAREA,STARAREA,ENDAREA,ENFORCE,STARENFO,ENDENFO,LOST,STARLOST,ENDLOST,REGIME,STARREGI,ENDREGI,GROUNDFO,GROUNDNO,GROUNDPO,GROUNDPOA,GROUNDAR,GROUNDARA,AIRFORCE,VIOLAREA,COUNTTRO,IDTROOPS,COUNTARM,IDARMS,CONTRA0,CONTRA1,CONTRA2,CONTRA3,CONTRA4,CONTRA5,CONTRA6,CONTRA7,ENDVIOL,FATAL1,FATALITYIY,FATAL2IY,FATALPRE,LOSSES,NEWVIOL,NEWFATAL,DISLOCATE
Central African Republic 2013-,2015,CAF,482,416,"86, 4201, 488, 3554, 3555, 3556, 4007, 5999, 1159, 9999",2,11/01/2013,1,0,-88,0,07/12/2009,1,0,-88,37,1,1,2,0,3,196,623000,623000,4500000,4500000,1,0,0,1,1,0,1,0,2,2,2,UN,1014,1,France,220,EU,2220,1,1,0,-88,1,1,1,19/02/2013,-77,1,23/01/2013,-77,1,15/02/2013,-77,1,19/12/2013,-77,0,-88,-88,1,19/12/2013,-77,0,-88,-88,0,-88,-88,0,-88,-88,1,11120,247,247,18,18,-99,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,0.17,401,1.10,1,-99,-88,-99,-99
Central African Republic 2013-,2016,CAF,482,416,"86, 4201, 488, 3554, 3555, 3556, 4007, 5999, 1159, 9999",2,11/01/2013,1,0,-88,0,07/12/2009,1,0,-88,37,1,1,2,0,3,196,623000,623000,4600000,4600000,1,0,0,1,1,0,1,0,2,2,2,UN,1014,1,France,220,-88,-88,1,1,0,-88,1,1,1,19/02/2013,-77,1,23/01/2013,-77,1,15/02/2013,-77,1,19/12/2013,-77,0,-88,-88,1,19/12/2013,-77,0,-88,-88,0,-88,-88,0,-88,-88,1,10965,238,238,18,18,-99,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,0.17,385,1.05,1,-99,-88,-99,-99
Chad 2008-2010,2008,TCD,483,288,"87, 468, 716, 1069, 1112, 9999",2,28/01/2008,1,28/04/2010,1,1,11/02/2004,1,28/04/2010,1,34,1,0,2,0,3,2729,1284000,170000,11100000,1700000,1,-99,1,1,1,0,0,0,2,2,2,EU,2220,1,UN,1014,Russia,365,0,1,0,-88,1,1,0,-88,-88,0,-88,-88,1,28/01/2008,28/04/2010,1,28/01/2008,28/04/2010,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,3700,33,218,3,22,1,2,0,-88,1,Sudan,1,0,0,0,0,0,0,0,0,1.89,994,2.95,1,10,0,-88,0
Chad 2008-2010,2009,TCD,483,288,"87, 468, 716, 1069, 1112, 9999",2,28/01/2008,1,28/04/2010,1,1,11/02/2004,1,28/04/2010,1,34,1,0,2,0,3,2729,1284000,170000,11500000,1800000,1,-99,1,1,1,0,0,0,2,2,2,UN,1014,1,EU,2220,Russia,365,0,1,0,-88,1,1,0,-88,-88,0,-88,-88,1,28/01/2008,28/04/2010,1,28/01/2008,28/04/2010,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,2498,22,139,2,15,1,2,0,-88,1,Sudan,1,0,0,0,0,0,0,0,0,1.89,135,0.37,1,10,0,-88,0
Chad 2008-2010,2010,TCD,483,288,"87, 468, 716, 1069, 1112, 9999",2,28/01/2008,1,28/04/2010,1,1,11/02/2004,1,28/04/2010,1,34,1,0,2,0,3,2729,1284000,170000,11900000,1800000,1,-99,1,1,1,0,0,0,2,2,2,UN,1014,1,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,0,-88,-88,1,28/01/2008,28/04/2010,1,28/01/2008,28/04/2010,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,3425,29,190,3,20,1,2,0,-88,1,Sudan,1,0,0,0,0,0,0,0,0,1.89,4,0.03,1,10,0,-88,0
Congo 1960-1964,1960,ZAR,490,"265, 266, 283","89, Government of Belgium",2,15/07/1960,1,30/06/1964,1,3,06/07/1960,2,30/11/1965,3,0,1,1,3,-99,3,-99,2345000,2345000,15200000,15200000,1,0,0,0,0,-99,-99,1,2,0,2,UN,1014,0,-88,-88,-88,-88,0,1,2,-88,1,1,0,-88,-88,1,15/07/1960,30/06/1964,1,15/07/1960,30/06/1964,0,-88,-88,0,-88,-88,1,15/07/1960,30/06/1964,0,-88,-88,0,-88,-88,0,-88,-88,1,-99,-99,-99,0,0,1,2,1,Belgium,0,-88,1,0,0,0,0,0,0,0,0,-99,-99,-99,-88,245,-88,-99,0
Congo 1960-1964,1961,ZAR,490,"265, 266, 284","89, Government of Belgium",2,15/07/1960,1,30/06/1964,1,3,06/07/1960,2,30/11/1965,3,0,1,1,3,-99,3,-99,2345000,2345000,15600000,15600000,1,0,0,0,0,-99,-99,1,2,0,2,UN,1014,0,-88,-88,-88,-88,0,1,2,-88,1,1,0,-88,-88,1,15/07/1960,30/06/1964,1,15/07/1960,30/06/1964,0,-88,-88,1,31/10/1961,14/01/1963,1,15/07/1960,30/06/1964,1,24/09/1961,14/01/1963,0,-88,-88,0,-88,-88,1,19828,127,127,8,8,1,2,1,Belgium,0,-88,1,0,0,0,0,0,0,0,0,-99,-99,-99,-88,245,-88,-99,0
Congo 1960-1964,1962,ZAR,490,"265, 266, 285","89, Government of Belgium",2,15/07/1960,1,30/06/1964,1,3,06/07/1960,2,30/11/1965,3,0,1,1,3,-99,3,-99,2345000,2345000,16000000,16000000,1,0,0,0,0,-99,-99,1,2,0,2,UN,1014,0,-88,-88,-88,-88,0,1,2,-88,1,1,0,-88,-88,1,15/07/1960,30/06/1964,1,15/07/1960,30/06/1964,0,-88,-88,1,31/10/1961,14/01/1963,1,15/07/1960,30/06/1964,1,24/09/1961,14/01/1963,1,28/12/1962,14/01/1963,0,-88,-88,1,-99,-99,-99,0,0,1,2,1,Belgium,0,-88,1,0,0,0,0,0,0,0,0,-99,-99,-99,-88,245,-88,-99,0
Congo 1960-1964,1963,ZAR,490,"265, 266, 286","89, Government of Belgium",2,15/07/1960,1,30/06/1964,1,3,06/07/1960,2,30/11/1965,3,0,1,1,3,-99,3,-99,2345000,2345000,16500000,16500000,1,0,0,0,0,-99,-99,1,2,0,2,UN,1014,0,-88,-88,-88,-88,0,1,2,-88,1,1,0,-88,-88,1,15/07/1960,30/06/1964,1,15/07/1960,30/06/1964,0,-88,-88,1,31/10/1961,14/01/1963,1,15/07/1960,30/06/1964,1,24/09/1961,14/01/1963,1,28/12/1962,14/01/1963,0,-88,-88,1,5871,36,36,3,3,1,2,1,Belgium,0,-88,1,0,0,0,0,0,0,0,0,-99,-99,-99,-88,245,-88,-99,0
Congo 1960-1964,1964,ZAR,490,"265, 266, 287","89, Government of Belgium",2,15/07/1960,1,30/06/1964,1,3,06/07/1960,2,30/11/1965,3,0,1,1,3,-99,3,-99,2345000,2345000,16900000,16900000,1,0,0,0,0,-99,-99,1,2,0,2,UN,1014,0,-88,-88,-88,-88,0,1,2,-88,1,1,0,-88,-88,1,15/07/1960,30/06/1964,1,15/07/1960,30/06/1964,0,-88,-88,0,-88,-88,1,15/07/1960,30/06/1964,0,-88,-88,0,-88,-88,0,-88,-88,1,-99,-99,-99,0,0,1,2,1,Belgium,0,-88,1,0,0,0,0,0,0,0,0,-99,-99,-99,-88,245,-88,-99,0
