,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
US Trade,,0.06086829506002582,0.06334460619291986,,0.0680213289604518,0.06065066775340304,,0.059015186005088156,0.06706853037043041,,0.06019596623518799,0.05418232004533251,,0.05525344757986505,0.045538876936241625
Weapon imports,,0.08011823284835781,0.08429634943725126,,0.07070132233066037,0.06263338734933972,,0.08957782700709221,0.07307565052346414,,0.08117503122347608,0.04566890632252933,,0.074156880064983,0.05256108071102524
elecsys_Mixed,,0.004851632614354618,0.00048598222581524214,,0.0031907807885683493,8.713095233303847e-05,,0.005355557790553316,0.0015482823194413328,,0.004621582623505134,0.0,,0.005456145546658973,0.0
elecsys_Other,,0.002078126416796328,0.0030855375190113636,,0.0014991046483912092,0.0,,0.0017872139762717758,0.006742527080122921,,0.0011395866267712767,0.0,,0.0008895061520498502,0.0
elecsys_PR,,0.004887153055117198,0.003978881008648291,,0.0049360196382632225,0.00011185472589816888,,0.00566429748415977,0.0,,0.005234083232518656,0.00024866176862882694,,0.005235554906240657,4.329843527617061e-05
elecsys_Plurality/Majority,,0.011712659483251656,0.0400702746146055,,0.009427618380335555,0.03151073355397762,,0.00681589779895595,0.007482060003854975,,0.007079392492494881,0.013468306163127554,,0.0063681823719171846,0.007322738381864681
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.5410066106098644e-05,0.0,,0.0,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7672955974842768,0.7421383647798742,0.4088397790055249,0.7955801104972375,0.7955801104972375,0.4947916666666667,0.6822916666666666,0.6770833333333334,0.48223350253807107,0.7715736040609137,0.7614213197969543,0.6149068322981367,0.782608695652174,0.7329192546583851
Precision,0.4339622641509434,0.7162162162162162,0.675,0.4088397790055249,0.7761194029850746,0.7605633802816901,0.4947916666666667,0.7361111111111112,0.7323943661971831,0.48223350253807107,0.7717391304347826,0.8,0.6149068322981367,0.8636363636363636,0.8043478260869565
Recall,1.0,0.7681159420289855,0.782608695652174,1.0,0.7027027027027027,0.7297297297297297,1.0,0.5578947368421052,0.5473684210526316,1.0,0.7473684210526316,0.6736842105263158,1.0,0.7676767676767676,0.7474747474747475
ROC-AUC,0.8138486312399357,0.814573268921095,0.7982286634460547,0.8002020712301086,0.850719878757262,0.8827355392775953,0.7720021703743897,0.7609875203472599,0.7593597395550733,0.7902992776057791,0.8505675954592363,0.8555727554179566,0.7215705441511894,0.8543499511241446,0.8354512870641903
PR-AUC,0.785499493774324,0.7936724741411612,0.7973383142620474,0.7769696220346884,0.8410128877181828,0.8608333461132358,0.7449953598226926,0.7715379224357002,0.7742379245369946,0.7593415934391093,0.8489301490646941,0.8666300959312354,0.7837211347017163,0.8988717955910214,0.8839819040457467
