,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
US Trade,,0.060871848658696076,0.0613551498309346,,0.05846860037830679,0.043229849743288674,,0.051931879220200546,0.052873656927655506,,0.053390260897480245,0.040817618782673454,,0.05163567121827021,0.03261875068081955
Weapon imports,,0.07299508163712577,0.07313110259438498,,0.06195313774806237,0.04669135172419147,,0.07326175990267486,0.06248699323515456,,0.07096909147418605,0.05899585189436396,,0.0706483738836855,0.04743356725516304
Global terrorist attacks,,0.03375682189187221,0.04013115380640684,,0.025216702987798184,0.0354142739349609,,0.02306756693221462,0.021375822935438604,,0.026012726938277518,0.02598330563688077,,0.0250301810471075,0.02334996212190495
elecsys_Mixed,,0.002668499798254935,0.0,,0.0028656494293448753,0.000606410904663845,,0.00392380036838587,0.0007326786104967125,,0.004067334223042998,0.0,,0.00463567556506878,0.0014803450048813574
elecsys_Other,,0.0006143092238694225,0.0002058810276481922,,0.0010975409030535455,0.0010845413441749946,,0.0008970543641695323,0.002286948221752479,,0.0010280167292203916,0.0,,0.0006758710611609089,0.0
elecsys_PR,,0.004465972365510698,0.0005462816645979925,,0.004636981577658702,0.0,,0.004648029924178793,6.066799449384019e-05,,0.00473525949031472,0.0011538983896310327,,0.004216352656359261,1.2603117037129673e-05
elecsys_Plurality/Majority,,0.010733204691520481,0.02466054947242345,,0.005837962746509881,0.015177115512943727,,0.00533924308483498,0.01121975241436861,,0.005522271424221831,0.005223822340952324,,0.00631854148613316,0.00430646947009497
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.759033057145316e-06,0.0,,3.0595414811149596e-05,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7295597484276729,0.7295597484276729,0.49171270718232046,0.8176795580110497,0.8066298342541437,0.4947916666666667,0.7083333333333334,0.6875,0.6192893401015228,0.7360406091370558,0.7766497461928934,0.6149068322981367,0.7639751552795031,0.7763975155279503
Precision,0.4339622641509434,0.6511627906976745,0.6585365853658537,0.4423076923076923,0.8059701492537313,0.7746478873239436,0.4947916666666667,0.7671232876712328,0.7397260273972602,0.5735294117647058,0.7415730337078652,0.7931034482758621,0.6149068322981367,0.8426966292134831,0.8461538461538461
Recall,1.0,0.8115942028985508,0.782608695652174,0.9324324324324325,0.7297297297297297,0.7432432432432432,1.0,0.5894736842105263,0.5684210526315789,0.8210526315789474,0.6947368421052632,0.7263157894736842,1.0,0.7575757575757576,0.7777777777777778
ROC-AUC,0.8138486312399357,0.8272141706924315,0.7976650563607085,0.7919929275069463,0.8656857792371812,0.8586764334427885,0.7720021703743897,0.788171459576777,0.7533369506239826,0.7667698658410733,0.8470072239422084,0.865015479876161,0.7215705441511894,0.8553274682306942,0.8509286412512219
PR-AUC,0.785499493774324,0.8198847792993832,0.7973185967857089,0.7740470953035886,0.8647292808912114,0.8435260838143247,0.7449953598226926,0.7713400534814506,0.7744559186025206,0.7494986674962725,0.8649592104690302,0.878976038775507,0.7837211347017163,0.8991863877544803,0.8957818938453346
