,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
elecsys_Other,,0.0011976191558609485,0.0030874747477800625,,0.0011021581842989574,0.0,,0.002044162422593728,0.006742527080122811,,0.0010719443770046137,0.0,,0.0008627215283183925,0.0
elecsys_PR,,0.006094977976334694,0.004888407688701629,,0.006759241368622278,0.00014491477829422215,,0.0050623928440961755,0.0,,0.005123805429377783,4.138121813390794e-05,,0.00682948313115437,1.9975015582431898e-05
elecsys_Plurality/Majority,,0.012199344154545386,0.039503575598240075,,0.007168780954947106,0.03161255886602145,,0.006369975208503593,0.007447522754958994,,0.005793889417805336,0.013468306163127518,,0.0068352600402889286,0.00808170259285282
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00015425186912514205,0.0,,0.00011412542942100595,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7421383647798742,0.7484276729559748,0.4088397790055249,0.7900552486187845,0.7955801104972375,0.4947916666666667,0.6927083333333334,0.6770833333333334,0.48223350253807107,0.7766497461928934,0.7614213197969543,0.6149068322981367,0.7888198757763976,0.7329192546583851
Precision,0.4339622641509434,0.675,0.6790123456790124,0.4088397790055249,0.7647058823529411,0.7605633802816901,0.4947916666666667,0.7368421052631579,0.7323943661971831,0.48223350253807107,0.7931034482758621,0.8,0.6149068322981367,0.8571428571428571,0.8111111111111111
Recall,1.0,0.782608695652174,0.7971014492753623,1.0,0.7027027027027027,0.7297297297297297,1.0,0.5894736842105263,0.5473684210526316,1.0,0.7263157894736842,0.6736842105263158,1.0,0.7878787878787878,0.7373737373737373
ROC-AUC,0.8138486312399357,0.811755233494364,0.8053945249597424,0.8002020712301086,0.8490149027532206,0.8821040666835059,0.7720021703743897,0.7570808464460119,0.758166033640803,0.7902992776057791,0.8497420020639834,0.8556759545923632,0.7215705441511894,0.8496252851091561,0.8281199087650701
PR-AUC,0.785499493774324,0.8209949412113833,0.8112121309477732,0.7769696220346884,0.8416503775068973,0.8588829836451488,0.7449953598226926,0.769333668541263,0.7734633968656501,0.7593415934391093,0.8566784991821034,0.8663208632371031,0.7837211347017163,0.8877441113445915,0.8795584836220733
