,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
elecsys_Other,,0.0009927658864323692,0.0005774602013087156,,0.0007126110713657765,0.0,,0.0012396363206293862,0.0022701699244933172,,0.0009268048806531754,0.0,,0.0004997279275390214,0.0
elecsys_PR,,0.00640825118080124,0.0011576909540892517,,0.005028233716612089,0.00019237558791996244,,0.003922976945800128,0.0,,0.003743422365620807,4.52092059786189e-05,,0.003336409548167469,0.0011910559894607944
elecsys_Plurality/Majority,,0.008219680288177949,0.024858055843845046,,0.007853968122261879,0.014438687399630546,,0.006551824743804505,0.008137752392992791,,0.0050961940318311515,0.0074213643274701,,0.005474647117853081,0.0054942384290596405
elecsys_Plurality/Majority and PR,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.00014630294327826367,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.4339622641509434,0.7672955974842768,0.7295597484276729,0.5911602209944752,0.7955801104972375,0.7845303867403315,0.4947916666666667,0.7135416666666666,0.6875,0.7157360406091371,0.7614213197969543,0.7817258883248731,0.6149068322981367,0.7763975155279503,0.7515527950310559
Precision,0.4339622641509434,0.7,0.6585365853658537,0.5,0.7466666666666667,0.7160493827160493,0.4947916666666667,0.7702702702702703,0.7464788732394366,0.782608695652174,0.7790697674418605,0.776595744680851,0.6149068322981367,0.8461538461538461,0.8314606741573034
Recall,1.0,0.8115942028985508,0.782608695652174,0.8918918918918919,0.7567567567567568,0.7837837837837838,1.0,0.6,0.5578947368421052,0.5684210526315789,0.7052631578947368,0.7684210526315789,1.0,0.7777777777777778,0.7474747474747475
ROC-AUC,0.8138486312399357,0.8259259259259258,0.7952495974235105,0.7998231876736549,0.8692220257640819,0.8576029300328365,0.7720021703743897,0.7719479110146501,0.7423765599565925,0.7859649122807018,0.8530959752321982,0.8653250773993808,0.7215705441511894,0.8680351906158358,0.8475073313782991
PR-AUC,0.785499493774324,0.809401447743381,0.8044742456579148,0.7772800008972118,0.8630849850159571,0.8405946296114898,0.7449953598226926,0.7832473967659231,0.7692680610536111,0.7591473621252135,0.8699372766675594,0.878784466331402,0.7837211347017163,0.9143077870831744,0.894024613648504
