,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Globalization,,0.04201856871004272,0.010293330961440365,,0.03642314467179153,0.006546341932555488,,0.03492195867347614,0.008943083371819373,,0.03606123782930316,0.003161472013495245,,0.034923320573532264,0.005132112697629536
GDP,,0.1086509162058033,0.016067682703452883,,0.09881222038788878,0.028385068836787777,,0.07886862066449808,0.03444603998954271,,0.1007193634300671,0.026379156491837048,,0.08554220604621669,0.03584887349212965
Population,,0.13706586595139683,0.26266954515543783,,0.16047060600925178,0.31271828297824916,,0.14655330223008392,0.23766175214235308,,0.13513361815412245,0.22069365103271976,,0.17106459916416716,0.21707681573256488
US Trade,,0.0550587655273116,0.07268679229717154,,0.053446814048281145,0.04953774069835278,,0.043026272854799714,0.015525788446603458,,0.04703870237079725,0.022715892124356093,,0.04450807031684053,0.01841643654974165
Weapon imports,,0.08353887215336991,0.06267312589198507,,0.0841561145581419,0.06994830304763643,,0.07497340538599775,0.04719087947108188,,0.06452245503866352,0.03636693767334523,,0.06448385478165268,0.03243807569076887
Global terrorist attacks,,0.01650155919813774,0.006853972616156464,,0.023518474264745955,0.011875385028895812,,0.024676432111699884,0.009309467759662028,,0.03043589726703874,0.01652193532116845,,0.031045889914840218,0.018555068841068365
elecsys_Mixed,,0.004920074480794714,0.002360506441123785,,0.004625309290359315,0.0,,0.006131281092144615,0.000994817746408077,,0.005688851891929522,6.492913214855279e-06,,0.005236143567660841,0.0
elecsys_Other,,0.001200971456336521,0.0,,0.0008478500000466988,0.0,,0.0005447151478991977,0.0,,0.0004378660412954489,0.0,,0.0004263693089679823,0.0
elecsys_PR,,0.005470228796534237,0.013557329061987972,,0.005034488945423332,0.0019291467883140085,,0.00598022343743171,0.0029701146376114817,,0.005096916234141369,0.0008108982780389273,,0.006393169691141744,0.0002972208890337565
elecsys_Plurality/Majority,,0.0029520855927335794,0.0,,0.004492738434879078,0.0,,0.0040141230432966584,1.3141231186316717e-05,,0.005207666586697084,0.00015566718988739255,,0.0038282957888103714,0.0032074985218401267
elecsys_Plurality/Majority and PR,,0.0008884344776440459,0.001513133218601585,,0.0014460605921628967,0.001378544628520009,,0.0009729111110473433,0.0005669350314676708,,0.0009330000710698698,0.0,,0.0008796568781137249,0.0
Year,,,,,,,,,,,,,,,
Accuracy,0.476,0.764,0.744,0.6332046332046332,0.7606177606177607,0.7606177606177607,0.6016949152542372,0.7457627118644068,0.7669491525423728,0.6788990825688074,0.8073394495412844,0.7981651376146789,0.6690140845070423,0.7535211267605634,0.7605633802816901
Precision,0.476,0.8260869565217391,0.7894736842105263,0.8947368421052632,0.7692307692307693,0.752,0.6016949152542372,0.8596491228070176,0.8918918918918919,0.8448275862068966,0.8857142857142857,0.863013698630137,0.7155172413793104,0.9305555555555556,0.92
Recall,1.0,0.6386554621848739,0.6302521008403361,0.272,0.72,0.752,1.0,0.6901408450704225,0.6971830985915493,0.6533333333333333,0.8266666666666667,0.84,0.8556701030927835,0.6907216494845361,0.711340206185567
ROC-AUC,0.7894669318108923,0.8403682083520432,0.8148694592340755,0.7197611940298508,0.8385373134328358,0.851044776119403,0.8593047647587654,0.8644740785136349,0.8627884327240036,0.7831372549019607,0.8539215686274509,0.8203921568627451,0.7317296678121421,0.8467353951890034,0.8697594501718213
