,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
GDP_pp,,0.06959712287547398,0.09147426653676755,,0.05527233925430439,0.06903753809059669,,0.05349512834574192,0.03255876166838984,,0.05750353742397966,0.05026315035726248,,0.056400374223545276,0.03770497921476953
US Trade,,0.05620335782269817,0.049470765192725065,,0.05226877655232992,0.0588826794065585,,0.04581049458524863,0.01993598762650383,,0.04426480209999636,0.022264015516247883,,0.04554301362311761,0.03136307673064161
Weapon imports,,0.09632443297574657,0.0840102861085067,,0.09548615284094318,0.07279000774162801,,0.08081417914723107,0.059564890466017845,,0.07444163703633347,0.04782295669269234,,0.06667789169509493,0.042279008119028384
Global terrorist attacks,,0.01609008386315119,0.012934909947041898,,0.017347938940373422,0.014750539425999574,,0.014320781311785652,0.004652468959812004,,0.016995870647070654,0.002754317517637699,,0.017967827886336368,0.0017970424669168591
elecsys_Mixed,,0.0068445437740702764,0.0006486392000867732,,0.0036429357894833324,7.80624360372586e-05,,0.004757129634924702,0.0013422536186214547,,0.004072386155198922,0.0,,0.0036879559423251018,0.0
elecsys_Other,,0.000856033006758434,2.150708764141574e-05,,0.0007595430396095368,0.0,,0.0004909440804506467,0.0005027231063579209,,0.0005591335672862718,0.0,,1.2462778992932243e-05,8.67194111820185e-05
elecsys_PR,,0.0031143245446061123,2.202728712440139e-05,,0.005430990351390672,7.105436236531328e-06,,0.0043585681446848,0.0016261990995958605,,0.004716249067177549,0.002993906609937429,,0.004889835110206456,0.0010765634728704477
elecsys_Plurality/Majority,,0.002835047245653332,0.0,,0.003703531568928645,0.00010176595962884682,,0.00435340088849764,5.743658816009378e-06,,0.004484228168143361,0.0012476272948106185,,0.004635143275557325,0.0019916110450723923
elecsys_Plurality/Majority and PR,,0.0009530133937196745,0.0,,0.0007783124213177392,0.0,,0.00023398839067586538,0.0,,0.00038285056331292165,0.0,,0.0002956051943804599,0.0
Year,,0.014932528643638367,0.003403429001779807,,0.020687219528343438,0.005862334443345738,,0.02177522393911798,0.004185091355428814,,0.02814917928787462,0.013871978218351363,,0.030434113665281943,0.034874256554786646
Accuracy,0.704,0.792,0.752,0.7142857142857143,0.7567567567567568,0.749034749034749,0.7372881355932204,0.7330508474576272,0.711864406779661,0.6880733944954128,0.7798165137614679,0.7431192660550459,0.6338028169014085,0.7535211267605634,0.7323943661971831
Precision,0.7528089887640449,0.845360824742268,0.7714285714285715,0.7428571428571429,0.746031746031746,0.7419354838709677,0.8703703703703703,0.8434782608695652,0.8557692307692307,0.7971014492753623,0.9180327868852459,0.8983050847457628,0.7368421052631579,0.9428571428571428,0.9041095890410958
Recall,0.5630252100840336,0.6890756302521008,0.680672268907563,0.624,0.752,0.736,0.6619718309859155,0.6830985915492958,0.6267605633802817,0.7333333333333333,0.7466666666666667,0.7066666666666667,0.7216494845360825,0.6804123711340206,0.6804123711340206
ROC-AUC,0.7439219962794278,0.8520751812175252,0.834434537173648,0.7628656716417911,0.8395522388059702,0.8406268656716418,0.807386874438118,0.847093197482769,0.8288133053640994,0.7329411764705882,0.8403921568627452,0.8349019607843137,0.67262313860252,0.834135166093929,0.8419243986254297
